TCGA.AB.2949.03B	TCGA.AB.2943.03A	TCGA.AB.2851.03A	TCGA.AB.2822.03A	TCGA.AB.2939.03A	TCGA.AB.2931.03A	TCGA.AB.2921.03A	TCGA.AB.2937.03A	TCGA.AB.2917.03A	TCGA.AB.2849.03A	TCGA.AB.2990.03B	TCGA.AB.3007.03A	TCGA.AB.2948.03A	TCGA.AB.2971.03A	TCGA.AB.2955.03A	TCGA.AB.2892.03A	TCGA.AB.2898.03A	TCGA.AB.2857.03A	TCGA.AB.2995.03A	TCGA.AB.2928.03A	TCGA.AB.2913.03A	TCGA.AB.2866.03A	TCGA.AB.2927.03A	TCGA.AB.2870.03A	TCGA.AB.2956.03A	TCGA.AB.3002.03A	TCGA.AB.2834.03A	TCGA.AB.2875.03A	TCGA.AB.2901.03A	TCGA.AB.2858.03A	TCGA.AB.2853.03A	TCGA.AB.2846.03A	TCGA.AB.2994.03A	TCGA.AB.2977.03B	TCGA.AB.2991.03A	TCGA.AB.2886.03A	TCGA.AB.2806.03A	TCGA.AB.2873.03A	TCGA.AB.2885.03A	TCGA.AB.2876.03A	TCGA.AB.2999.03B	TCGA.AB.2982.03B	TCGA.AB.2815.03A	TCGA.AB.2810.03A	TCGA.AB.2941.03A	TCGA.AB.2896.03B	TCGA.AB.3009.03A	TCGA.AB.2859.03A	TCGA.AB.2934.03A	TCGA.AB.2919.03A	TCGA.AB.3000.03A	TCGA.AB.2973.03A	TCGA.AB.2924.03A	TCGA.AB.2915.03A	TCGA.AB.2952.03B	TCGA.AB.2938.03A	TCGA.AB.2935.03A	TCGA.AB.2823.03A	TCGA.AB.2814.03A	TCGA.AB.2899.03A	TCGA.AB.3001.03A	TCGA.AB.2813.03A	TCGA.AB.2942.03A	TCGA.AB.2930.03A	TCGA.AB.2811.03B	TCGA.AB.2842.03A	TCGA.AB.2911.03A	TCGA.AB.2825.03A	TCGA.AB.2920.03B	TCGA.AB.2998.03A	TCGA.AB.2916.03A	TCGA.AB.2839.03A	TCGA.AB.2965.03A	TCGA.AB.2944.03A	TCGA.AB.2861.03A	TCGA.AB.2843.03A	TCGA.AB.2933.03A	TCGA.AB.2894.03A	TCGA.AB.2888.03B	TCGA.AB.2900.03A	TCGA.AB.2966.03A	TCGA.AB.2963.03A	TCGA.AB.2975.03A	TCGA.AB.2881.03A	TCGA.AB.2950.03A	TCGA.AB.2821.03A	TCGA.AB.2912.03A	TCGA.AB.2890.03A	TCGA.AB.2812.03A	TCGA.AB.2817.03A	TCGA.AB.2970.03A	TCGA.AB.2984.03A	TCGA.AB.2946.03A	TCGA.AB.2828.03A	TCGA.AB.2845.03B	TCGA.AB.2883.03A	TCGA.AB.2959.03A	TCGA.AB.2893.03A	TCGA.AB.2863.03A	TCGA.AB.2871.03A	TCGA.AB.2979.03B	TCGA.AB.2987.03A	TCGA.AB.2891.03A	TCGA.AB.2820.03A	TCGA.AB.2897.03A	TCGA.AB.2884.03A	TCGA.AB.2882.03A	TCGA.AB.2981.03B	TCGA.AB.2877.03A	TCGA.AB.2918.03A	TCGA.AB.2889.03A	TCGA.AB.2808.03A	TCGA.AB.2983.03A	TCGA.AB.2830.03A	TCGA.AB.2929.03A	TCGA.AB.2836.03A	TCGA.AB.2910.03A	TCGA.AB.2856.03A	TCGA.AB.2844.03A	TCGA.AB.2908.03A	TCGA.AB.2940.03A	TCGA.AB.2869.03A	TCGA.AB.2996.03A	TCGA.AB.2867.03A	TCGA.AB.2826.03A	TCGA.AB.2872.03A	TCGA.AB.2840.03A	TCGA.AB.3008.03A	TCGA.AB.2992.03A	TCGA.AB.3011.03A	TCGA.AB.2914.03A	TCGA.AB.2818.03A	TCGA.AB.2986.03A	TCGA.AB.2847.03A	TCGA.AB.2805.03A	TCGA.AB.2819.03A	TCGA.AB.2988.03B	TCGA.AB.2841.03B	TCGA.AB.2976.03A	TCGA.AB.2895.03A	TCGA.AB.3012.03A	TCGA.AB.2874.03A	TCGA.AB.2862.03A	TCGA.AB.2980.03A	TCGA.AB.2865.03A	TCGA.AB.2835.03A	TCGA.AB.2878.03A	TCGA.AB.2936.03A	TCGA.AB.2880.03A	TCGA.AB.2932.03A	TCGA.AB.2925.03A
CD8+ Tcm	0.0151	0.2141	0	0.0263	0	0.0111	0	0.0069	0.0211	0.0566	0.0151	0.0212	0	0.0274	0.0696	0.0061	0	0.1056	0.1346	0	0.0545	0	0.0529	0.0085	0	0.0105	0	0.04	0	0.0326	0.0283	0	0.0175	6e-04	0	0.0027	0.001	0	0.042	0.0498	0.0671	0.07	0	0	0	1e-04	0.0121	0.1343	0.0047	0	0	0.0393	0	0.0498	0.0588	0.087	0.0603	0.0023	0.0784	0.017	0.0456	0.002	0.0088	0	0	0	0.0158	0	0.0333	0	0.0593	0.021	0	0.0109	0	0.04	0.0332	0	0.0802	0	0.0698	0	0	0.0856	0.0071	0	0.0177	0.0741	0	0	0.0075	0	0.0144	0	0.0268	0	0.1118	0	0	0.136	0.016	0.182	0.0119	0.018	0	0	0.0879	0	0	0	0.0138	0	0.0417	0.0692	0.0984	0	0	0	0	0.158	0.0247	0.0487	0	0.0576	0	0	0.0032	0.0578	0	0	0.0177	0	0.0632	0.0959	7e-04	0.0431	0	0	0.0205	0	0.0043	0	0.0081	0.0303	0.0053	0	0.0152	0.0859	0	0	0
CD8+ Tem	0	0.0514	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0828	0	0	0	0	0	0	0	0	0.0401	0	0	0	0	0	0	0	0.0066	0	0	0.0216	0	0	0.0023	0	0	0	0	0	0.0198	0	0	0	0	0	0.0285	0.0096	0	0.0517	0	0	0.0021	0.0192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0129	0	0.0094	0	0	0.0035	0	0	6e-04	0	0	0	0.1093	0	0.0025	0	0	0	0	0	0	0.0192	0	0	0.1184	0	0.0328	0	0.0369	0	0	0.0822	0	0	0	0	0	0	0.0162	0.0268	0	0	0	0	0	0	0.0053	0	0	0	0	0	0.0027	0	0	0	0	0	0.0465	0	0	0	0	0	0	0	0	0	0	0.0144	0	0	0.0333	0	0	0
CD8+ naive T-cells	0.0035	0	0	0	0	0	0	0	0	0	0.0102	0	0	0.0047	0.004	0	0	0	0	0	0	0.0013	5e-04	0	0	0.0124	0	0	0	0	0	0	0	0.003	0	0	0	0	0	3e-04	0.0031	0.0074	0	0	0	0	0	2e-04	0	0.0016	0	0.0066	0	0	0	0	0	0	0	0	0	0	0	0	0.0073	0	0.0035	0	0	0	0	0	0	0	0	0	0	0.0096	0	0	2e-04	0	0.007	0.001	0	0	0.0018	0.0048	0	0	0	0.0101	0	0	0	0	0	0	0	2e-04	0	0	0	0	0	0	0	0	0.0052	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0202	0	0	0	0	0	0.0039	0	0	0	0	0	9e-04	0	0	0	0	0	0	0	0.0011	0	0	0	0	0	0	0
CLP	0.2831	0.0447	0.0035	0.0371	0.0416	0.0845	0.144	0.0928	0.0224	0.2109	0.0421	0.0234	0	0.0067	0.1401	0.048	0	0.0086	0.0022	0.0374	0.0662	0	0.07	0.0872	0	0.1846	0.0458	0.0962	0	0.1044	0.0677	0.0797	0	0.0379	0.0422	0.0755	0.1537	0	0.0317	0.0784	0.0324	0.0245	0.0432	0.0902	0	0.0891	0.0651	0.0095	0.0646	0.028	0.1016	0.0073	0.0054	0	0	0	0.0868	0.0152	0.1337	0.1744	0.0401	0.0021	0.1161	0.2141	0.0182	0.0222	0.0082	0	0.0035	0.0163	0.035	0.0445	0.0481	0.0731	0.0111	0.0135	0.2172	0.0419	0.0329	0.001	0.1643	0.0516	0.0509	0.0566	0.0732	0	0.1552	0.014	0.0613	0.1237	0.109	0.2188	0.0505	0.0309	0.083	0.0064	0.0714	0.0223	0.0951	0	0.0544	0	0.1182	0.0455	0.0336	0.0154	5e-04	0.0283	0.0388	0.152	0.0443	0.0789	0.107	0.0753	0.0054	0.0229	0.0046	0.1391	0.0476	0.1282	0.0401	0.0691	0	0.0539	0.0069	0	0.0435	0.2195	0.0041	0.0562	0.1891	0	0.0985	0.0699	0.0747	0.1813	0.0718	0.0071	0.0563	0.0035	0.0092	0.0259	0.0179	0.1112	0.0034	0.0092	0.0427	0.0281	0.07	0.0116	0.0108
CMP	0.1254	0.1361	0.087	0.0614	0.2325	0.1914	0.1774	0.1533	0.1685	0.0175	0.2477	0.2947	0.1536	0.1808	0.0842	0.212	0.209	0.2418	0.0468	0.053	0.1929	0.1122	0.0473	0.1409	0.0809	0.0537	0.2451	0.1826	0.1665	0.224	0.1994	0.152	0.2847	0.1744	0.2876	0.1953	0.1564	0.0954	0.1174	0.2803	0.3777	0.2931	0.1678	0.2245	0.0299	0.2029	0.1625	0.1415	0.0591	0.253	0.2119	0.0538	0.178	0.0879	0.1403	0	0.1903	0.2358	0.0105	0.0936	0.2313	0.1401	0.1219	0.2048	0.1848	0.1647	0.2151	0.1245	0.146	0.2794	0.0335	0.1944	0.1807	0.0779	0.1731	0.0824	0.0978	0.0874	0.0742	0.2188	0.0254	0.2627	0.2063	0.1548	0.1474	0.1252	0.1165	0.0073	0.1884	0.0963	0.0863	0.1922	0.2271	0.1169	0.2321	0.1697	0	0.1398	0.1181	0.1528	0.1691	0	0.1264	0.056	0.3265	0.2064	0.21	0.0828	0.2507	0.1449	0.1995	0.2185	0.1271	0.129	0.033	0.1453	0.1676	0.1285	0.2297	0.1697	0.2153	0.2461	0.1951	0.1597	0.2108	0.3378	0.2504	0.0732	0.2254	0.2261	0.1463	0.2264	0.1788	0.1494	0.0037	0.1582	0.1532	0.3154	0.1772	0.1481	0.3326	0.2842	0.2849	0.1919	0.0174	0.1184	0.204	0.0218	0.1457	0.1816	0.1948
Chondrocytes	0	0	0	0	0	0	0	0	0	9e-04	0	0	0	0	0	0	0	3e-04	0.0039	0	0	0	0	0	0	0	0	0	0	0.0059	0	0	0	0	0	0	0.0448	0	0	0	0	0.0029	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0605	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0083	0	0	0	0	0	0	0	0	0	0	0	2e-04	0	0	0	0	0	0	0	0	0	0.0025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7e-04	0	0	0	0	0.0017	0	0	0.013	0	0	0.0076	0	0	0	0
Class-switched memory B-cells	0	0.0185	0.019	0.0334	0	0	0	0.0417	0	0	0.021	0.0023	0.0163	0.0032	0.0017	0.004	0	0.0342	0	0	0	0.0037	0.0689	0.0064	0.0493	0.0687	0	0.054	0	0.0326	0.0037	0.0084	0.0213	0	0.0036	0.0327	0.0012	0.0217	0	0.0012	0	0.029	0.0098	0	0	0	0.0196	0.005	0.0129	0	0	0.0573	0.0037	0	0.0136	0	0	0	0	0.0138	0.0026	0.0015	0.02	0	0.019	0	0.0058	0.0414	0.0068	0	0.0198	0	0	0	0	0.0328	0	0.0137	0.0344	0.0012	0.0149	0	0.0074	0.031	0.0296	0.0222	0	0.0089	0	0.0037	0.0468	0	0	0.0248	0.0078	0	0.0235	0	0	0.0563	4e-04	0.0635	0.0021	0.0788	0	0.0152	0	0.0217	0	0	0	0	0.0408	0.0383	0	0.0058	0	0	0	0	0	0.0048	0	0.0228	0	0.0201	0.0398	0	0.0057	0.0224	0.0242	0.0158	0	0.0189	0.0167	0.0072	0.0037	0	0	0	0	0	8e-04	0	0	0.0237	0	0.0304	0.0034	0	0
DC	0	0	0	0	0	0	0	0	0	0	0	0	0	7e-04	0	0.04	0	0.0046	0	0	0	0	0.0112	0.0364	0	4e-04	0	0	0	5e-04	0	0.0163	0	0.0039	0	0	0	0	0	0.0022	0	0	0.0442	0	0	0	5e-04	0	0.0132	0	9e-04	0	0	0	0.0124	0.0057	0	0	0	0	0	0	0.0148	0	0	0	0.0833	0	0	0	0.0058	0	0	0	0	0.0307	0.0023	0	0.0312	0	0	0	0	0.0099	0	0	0.0108	5e-04	0	0	0.0094	0	0.0024	0.0162	0.0177	0	8e-04	0	0	0	0.0038	0.0154	0.0065	0	0	0	0.0077	0.0056	0	0	0.0213	0	0.0046	0	0	0	0	0	0	0	0	0	3e-04	0.0014	0	0	0	0	0	0	0.0078	0	0	2e-04	0.0348	0	0	0	0	0	0	0	0	0	0.0199	0	0	4e-04	0.0065	0	0
Endothelial cells	0.0213	0.0187	0.0096	0.007	0.0193	0.0301	0.0175	0.0675	0.0153	0.0124	0	0	0	0	0.0217	0.0178	0.0148	0.0297	0.0921	0.0475	0.0098	0	0.002	0.0216	0	0.0113	0.0154	0.0155	0.0341	0.0196	0.0156	0.0135	0	0.0336	0.0073	0.0321	0.0167	0.0013	0.0951	0.0028	0.0048	0.0164	0.0145	0	0.0478	0.0149	0.0312	0.073	0.0089	0.0032	0.0046	0	0.0023	0.0407	0.0277	0.0745	0.0166	0.0031	0.0056	0	0.0108	0.011	0.0224	0.006	0.0059	0.0141	0.0166	0.002	0.0098	0	0.0062	0.022	0.0155	0.088	0.0029	0.0058	0.0049	0	0	0.0051	0.025	0.0173	0	0.0189	0.0232	0.0158	0.0086	0.025	0.0126	0.0392	0.0182	0	0.0115	0.01	0.006	0.0098	0.0043	0.012	0.0064	0.0269	0.0094	0.0109	0.0049	0	0.0083	0.0091	0.0236	0.0023	0	0.0065	0.0287	0.0186	0.0215	0	0.1108	0.0016	5e-04	0.0148	0.0114	0.0537	0.0127	0.0151	0.0067	0.0028	0	0.0019	0	0.0227	0.0096	0	0.0283	0.016	0.0143	7e-04	6e-04	0.0175	0.0094	0.0054	0.0146	0.0557	0.0244	0.011	0.0081	0.0086	0.0355	0.0049	0.0258	0.0023	0.0051	0.0059	0
Eosinophils	0	0	0	0	0.0417	0.0199	0	0.0049	0	0	0.0278	0.0031	0	0	0	0.027	0.026	0.0036	0	0	0	0	0	0.0295	0	0	0.0399	0.0389	0.003	0.0578	0	0.0116	0.0867	0	0	0.0415	0.0209	0	0	0.0551	0.0539	0.0182	0.0113	0.0572	0.0062	0.017	0.0034	0	0	0.0042	0	0	5e-04	0	0.0135	0	0	0.011	0	0	0.0064	0	0.0032	0.0462	0.0267	0	0.0123	0	0.0242	0.0078	0	0.0136	0	0	0	0	0.0026	0	0.0015	0.0171	0	0.0129	0	0.0015	0.0053	0	0	0.0049	0.0198	0.0071	0	0	0	0	0.0073	0	0	0	0	0.0023	7e-04	0	0	0.0026	0.0708	0	0.0395	0	0.0042	0.0139	0.0251	0.042	0	0	0	0	0	0	0.0059	0	0	0.0076	0	0.0167	0.0367	0.0209	0.0067	0	0.0296	0.0035	0	0.0419	0.0026	0.0057	0	0	0	0.0347	0.0189	0	0.0571	0	0.0386	0	0.0046	0	0	0	0	0	0
